MW,,dlogMW
6.94E+06,6.84135947,0.00269514
7.15E+06,6.854306042,0.00242444
7.37E+06,6.867467488,0.00194091
7.60E+06,6.880813592,0.00101046
7.83E+06,6.893761762,0.000413425
8.07E+06,6.906873535,0.000518702
8.31E+06,6.919601024,0.000808424
8.56E+06,6.932473765,0.000814385
8.83E+06,6.945960704,0.000912569
9.09E+06,6.958563883,0.000457418
9.37E+06,6.971739591,0.000151241
9.66E+06,6.984977126,0.000284895
9.95E+06,6.997823081,0
1.03E+07,7.012837225,0
1.06E+07,7.025305865,0
1.09E+07,7.037426498,0.000166858
1.12E+07,7.049218023,0.000265041
1.16E+07,7.064457989,0.000590234
1.19E+07,7.075546961,0.00055363
